지역,업소명,주소,전화전호,주메뉴
보령,궁중수라상,보령시 신설1길 79(동대동),041-932-0708,"간장게장,한정식"
보령,월산숯불갈비,보령시 신설2길 51(동대동),041-936-3773,돼지갈비
보령,신설회관,보령시 신설2길 66(동대동),041-936-2765,소고기
보령,밤낮식당,보령시 원동1길 94(동대동),041-935-4286,갈비
보령,성주산화로구이,보령시 작은오랏3길 46(동대동),041-931-9933,삼겹살
보령,맛나감자탕,보령시 주공로 23(동대동),041-932-1256,감자탕
보령,농어민후계자횟집,보령시 큰오랏1길 80(동대동),041-932-2767,생선회
보령,뜨락우미정,보령시 큰오랏3길 30(동대동),041-931-9966,삼겹살
보령,옛촌참나무장작구이,보령시 큰오랏3길 35(동대동),041-932-5292,모듬장작구이
보령,대화식당,보령시 큰오랏6길 45(동대동),041-932-5109,생선탕
보령,시골돌솥쌈밥,보령시 큰오랏6길 51(동대동),041-935-9315,돌솥쌈밥
보령,한우정,보령시 한내로터리길 45(동대동),041-931-9688,암소꽃등심
보령,세영숯불갈비,보령시 보령남로 9(명천동),041-932-2686,돼지갈비
보령,대명정누룽지백숙,보령시 한내로 154(명천동),041-933-7285,누룽지백숙
보령,미산한우촌가든식당,보령시 미산면 판미로 1497,041-933-4077,양념갈비
보령,대전횟집,보령시 대해로 897-11(신흑동),041-932-6020,생선회
보령,청해회집,보령시 해수욕장4길 100(신흑동),041-933-3111,생선회
보령,조개까는남자,보령시 해수욕장4길 12(신흑동),041-931-2209,생선회
보령,천지회집,보령시 해수욕장4길 42(신흑동),041-933-8833,생선회
보령,모아횟집,보령시 해수욕장4길 92(신흑동),041-934-8186,생선회
보령,동문가든,보령시 오천면 충청수영로 729,041-933-9671,삼계탕
보령,도래죽전문점,보령시 대해로 443(요암동),041-933-8000,"전복죽,백합죽"
보령,해변횟집,보령시 웅천읍 열린바다로 294,041-936-3764,생선회
보령,유성횟집,보령시 웅천읍 열린바다2길 12,041-935-8818,생선회
보령,대해로횟집,보령시 웅천읍 열린바다로 334-15,041-936-3394,생선회
보령,하루,보령시 웅천읍 충서로 896,041-933-2826,삼계탕
보령,한방매실삼겹살,보령시 현대로 29(죽정동),041-934-2736,삼겹살
보령,시월애레스토랑,보령시 천북면 홍보로 1061-166,041-641-0240,돈까스
보령,천북양평해장국,보령시 천북면 홍보로 504-1,041-641-9460,해장국
보령,가든터,보령시 천북면 홍보로 666,041-641-8921,굴밥
보령,화현관광농원,보령시 대청로 401(화산동),041-932-9952,장어구이
아산,시인과 촌장,아산시 음봉면 음봉로 162,041-541-8667,"A정식,피자"
아산,미소야 김밥천국,아산시 온궁로 29-1,041-543-2250,"초밥,우동"
아산,목림정,아산시 번영로69번길 32-8,041-544-3272,"생갈비살,생등심"
아산,황토화로구이,아산시 아산로 7,041-544-8592,"돼지갈비,삼겹살"
아산,어랑,아산시 음봉면 아산온천로 372,041-543-2378,"추어탕,돌솥메밀싹비빔밥"
아산,진미돌생삼겹살,아산시 시민로244번길 7-16,041-533-3166,"돌생삼겹살,생갈비김치찌개"
아산,서천칼국수,아산시 시민로244번길 7-11,041-548-1300,"굴칼국수,굴파전"
아산,태성숯불갈비,아산시 남부로 120,041-532-5004,"돼지갈비,생삼겹살"
아산,설화일식,아산시 배방읍 배방로229번길 30-6,041-549-5525,"설화모듬회,생대구탕"
아산,청지기아구참꽃게,아산시 배방읍 배방로 219-4,041-533-7975,"간장게장,청지기정식"
아산,청정원 참나무장작구이,아산시 배방읍 배방로 295,041-534-9000,"유황오리,통삼겹살"
아산,갈비역,아산시 배방읍 북수로88,041-532-9093,"소갈비,돼지갈비"
아산,놀부부대찌개 배방점,아산시 배방읍 배방로173번길 14-18,041-548-1900,"놀부부대찌개,낙지철판구이"
아산,고가네칼국수,아산시 번영로 83-5,041-549-7799,"칼국수,만두전골"
아산,코리아해장국,아산시 번영로69번길 20-7,041-549-7423,"올갱이해장국,뼈다귀해장국"
아산,하눌소,아산시 충무로 117,041-549-7979,"생등심,점심특선"
아산,밤골생고기,아산시 번영로 119,041-546-5419,"두툼이석갈비,한우곱창냉이전골"
아산,동문장어,아산시 청운로182-26,041-546-4633,"장어구이,장추어죽"
아산,진미황토오리진흙구이,아산시 시민로 463-9,041-533-5292,"황토오리구이,진미오리정식"
아산,선미네,아산시 청운로146번길 17,041-546-4391,"해물갈비매운탕,해물닭볶음탕"
아산,팔도강산 동태찜,아산시 번영로 177-1,041-541-4234,"동태해물찜,동태전골"
아산,통돼지 두루치기 전문점,아산시 시민로 440번길 6(온천동),041-542-2572,"통돼지김치두루치기,삼겹살"
아산,사계절 해물탕,아산시 번영로 124,041-544-1182,"해물탕,우럭매운탕"
아산,신촌옥,아산시 충무로42번길 8-1,041-545-8911,"설렁탕,갈비탕"
아산,가파도,아산시 번영로 200,041-545-8879,"활어회,복탕(참복)"
아산,뼈랑뼈랑,아산시 번영로 193,041-545-9259,"뼈랑해장국,콩나물해장국"
아산,화평동왕냉면황제갈비 아산점,아산시 번영로 213,041-545-3936,"인삼생삼겹살,돼지왕갈비"
아산,로이레스토랑,아산시 번영로 197,041-541-5454,"돈까스,한우안심스테이크"
아산,동양식당,아산시 번영로 207,041-541-0713,한정식
아산,대구명가 명가네,아산시 삼동로40번길 11,041-547-5432,"대구뽈찜,해물찜"
아산,곱창마을,아산시 번영로 216번길 7,041-547-9233,"막창구이,곱창전골"
아산,일오삼갈비마을,아산시 남산로 55,041-542-8782,"돼지갈비,소갈비찜"
아산,온양뚝배기,아산시 온천대로 1502-3,041-533-5689,"콩청국장,고등어조림"
아산,여명회관 한정식,아산시 충무로8번길 16,041-534-7777,"영양돌솥연잎밥,연잎한정식"
아산,은정갈비,아산시 온궁로 5,041-545-5898,"돼지갈비,삼겹살"
아산,천진옛날손짜장,아산시 온천대로 1265,041-542-2225,"쟁반짜장,육해공짬뽕"
아산,가마솥 두부명가,아산시 온주길 6-7,041-541-9789,"두부전골,두부보쌈"
아산,본가은행나무집,아산시 신정로 681,041-541-5292,"오리진흙구이,오리주물럭"
아산,신가네생선구이,아산시 번영로224번길 38,041-543-3792,"모듬생선구이,갈치조림"
아산,일미해장국,아산시 청운로84번길 21-1,041-542-2596,"뼈해장국,선지해장국"
아산,24시뼈다귀감자탕,아산시 시민로292번길 5-9,041-548-9570,"뼈다귀감자탕,뼈다귀전골"
아산,청정황태찜전문점,아산시 시민로292번길 7-12,041-549-4808,"황태찜,황태구이백반"
아산,산마을,아산시 온천대로 1584,041-532-3354,"곤드레정식,곤드레밥"
아산,선비촌보쌈,아산시 온화로 11,041-534-5353,"모듬보쌈,부대모듬전골"
아산,생생고기전문점,아산시 모종남로45번길 11,041-531-9393,"삼겹살,가브리살"
아산,예가레스토랑,아산시 시민로303번길 22,041-548-3096,"안심스테이크,파스타"
아산,홍도횟집,아산시 온천대로1613번길 11,041-545-9238,"활어회(매운탕),아구찜"
아산,둔포갈비,아산시 둔포면 둔포중앙로141,041-532-8595,"돼지갈비,점심쌈밥"
아산,미가정,아산시 둔포면 둔포로 6-11,041-534-0592,"장추어죽,삼색장어구이"
아산,현대생고기,아산시 둔포면 둔포중앙로 180,041-531-3031,"소고기,돼지고기"
아산,참숯골,아산시 둔포면 충무로 1791,041-531-5492,"돼지왕갈비,갈비살"
아산,오리데이,아산시 탕정면 탕정면로 311,041-545-5279,"오리부추로스,오리주물럭"
아산,청풍명월,아산시 배방읍 고불로 76,041-549-9252,"황토솔잎가마구이,신선오리양념구이"
아산,태풍횟집,아산시 온중로 60-13,041-542-0550,"활어회,매운탕"
아산,도네누볏짚삼겹살 아산점,아산시 어의정로 3,041-542-4144,"볏집통삼겹살,도네누왕주물럭"
아산,김밥사랑,아산시 삼동로 24,041-532-8889,"김밥,돈까스"
아산,미셸의 정원,아산시 영인면 월선길 20-42,041-534-2580,"등심돈까스,불고기피자"
아산,궁중화로,아산시 신창면 순천향로15번길 17,041-542-8592,"생등심,돼지갈비"
아산,마포숯불갈비,아산시 신창면 온천대로 822,041-544-6137,"돼지갈비,냉면"
아산,묵은지와 참두부,아산시 영인면 토정로 216,041-542-5404,"묵은지찜,두부전골"
아산,병천본가 순대국밥,아산시 인주면 현대로 1290,041-542-0085,"순대국밥,돼지국밥"
아산,황가네찜세상,아산시 배방읍 모산로 153,041-534-0077,"아구찜,해물뼈찜"
아산,고려옥,아산시 번영로195번길 9,041-545-6254,"꼬리곰탕,우족곰탕"
아산,미성가든,아산시 염치읍 충무로431번길 37,041-545-3650,"장어,어죽"
아산,오리촌,아산시 영인면 영인로 29,041-541-0233,"유황오리모듬구이,유황오리샤브샤브"
아산,현대회관,아산시 충무로8번길 9,041-545-7880,"숯불양념갈비,갈비탕"
아산,소풍,아산시 득산로 25,041-541-6611,"생오리숯불회전구이,능이버섯백숙"
아산,농원정,아산시 실옥로 93,041-531-9782,"오리누룽지백숙,삼계탕"
아산,신흥정육점식당,아산시 도고면 온천대로 170,041-533-8925,"꽃등심,모듬"
아산,짚불과 솔잎,아산시 배방읍 호서로 285,041-534-5392,"짚불삼겹살,솔잎오리진흙구이"
아산,5.5닭갈비,아산시 남부로 121,041-534-2555,"닭갈비,막국수"
아산,온양해물탕,아산시 시민로234번길 4-21,041-534-4900,"해물탕,아구찜"
아산,외암골,아산시 송악면 송악로 827,041-544-4688,"닭볶음탕,콩나물밥"
아산,놀부부대찌개 온천점,아산시 번영로 105-2,041-549-7892,"부대찌개,철판구이"
아산,소담식당,아산시 충무로8번길 9-5,041-549-9222,"대구탕,생태지개"
아산,감꽃마을 토종순대,아산시 시민로244번길 7-10,041-545-4778,"순대국밥,철판볶음"
아산,초사골불타는쭈꾸미,아산시 남부로 121,041-534-4485,"불타는쭈꾸미,불타는낙지"
아산,강릉집,아산시 남부로 120,041-546-3222,"우럭회무침,물회"
아산,대가생고기,아산시 둔포면 충무로 1863,041-534-6686,"소고기등심,돼지갈비"
아산,낙원가든,아산시 음봉면 아산온천로 217-14,041-541-5191,"앉은뱅이갈비탕,소양념갈비"
아산,터줏대감,아산시 탕정면 탕정로 7,041-533-0042,"한우불고기샤브,매콤말이찜"
아산,세시봉,아산시 음봉면 충무로 1143,041-531-2600,"안심스테이크,스파게티"
아산,숲속의 둥지,아산시 음봉면 아산온천로 459-15,041-547-6556,"안심스테이크,돈까스"
아산,착한낙지배방점,아산시 배방읍 북수동로 26,041-541-8833,"낙지볶음,연포탕"
아산,안터덕,아산시 배방읍 갈산교로 14,041-546-5292,"오리정식,훈제1마리"
아산,장수촌 아산점,아산시 장존길 199,041-541-6655,"누룽지닭백숙,누룽지오리백숙"
아산,우남정,아산시 온주길16번길 16,041-548-5409,"한우특수부위,돼지갈비"
아산,돈까스클럽 아산점,아산시 온천대로 1734,041-546-6600,"왕돈까스,화덕피자"
아산,원조설악추어탕아산점,아산시 염치읍 석정길 64,041-533-7273,"추어탕,삼계탕"
아산,영인산마루,아산시 영인면 아산온천로 16-8,041-543-4778,"우렁쌈밥정식,연잎영양밥"
아산,한강,아산시 영인면 영인로 28,041-542-1588,"탕수육,짜장면"
아산,주원오릿대,아산시 무궁화로 44,041-549-9393,"4인코스요리,한방백숙"
아산,신진성아구찜온천점,아산시 번영로 92,041-546-2318,"아구찜,해물찜"
아산,늘봄갈비,아산시 문화로 287,041-532-3636,"생갈비,돼지갈비"
아산,산수갑산,아산시 염치읍 은행나무길215번길 3,041-544-2406,"한우특수부위,한우불고기백반"
아산,둔포막창순대본점,아산시 둔포면 충무로 1750-1,041-532-0276,"막창순대,모듬순대"
아산,강화식당,아산시 탕정면 탕정로 17,041-544-6957,"족탕,족찜"
아산,눈뜬동태입벌린황태,아산시 배방읍 북수동로 27,041-544-5734,"동태탕,동태찜"
아산,공룡고기아산배방점,아산시 배방읍 배방로 37,041-545-0697,"무한리필,갈비탕"
아산,더참맛수육국밥,아산시 배방읍 북수로 71,041-531-9882,"수육국밥,수육보쌈"
아산,망향비빔국수,아산시 염치읍 은행나무길 189,041-545-3575,"비빔국수,잔치국수"
아산,마루샤브,아산시 남부로 292,041-548-2929,"쇠고기샤브,해물샤브"
아산,온양청국장집,아산시 온천대로 1452,041-533-9942,"청국장보쌈정식,청국장"
아산,명성갈비,아산시 온화로15(온천동),041-547-3345,"돼지갈비,소갈비"
아산,킹콩쭈꾸미,아산시 번영로224번길 14,041-547-7946,"쭈꾸미볶음,쭈꾸미양념철판"
아산,양자강,아산시 시민로 364-29,041-548-5339,"짜장면,탕수육"
아산,춘천명동닭갈비,아산시 충무로8번길 11,041-542-2677,"닭갈비,막국수"
아산,자연과사람들,아산시 음봉면 아산온천로 401,041-546-6565,"오리누룽지백숙,오리주물럭"
서산,소청,서산시 대산 충의로 1981(대산리),041-666-5588,"소청정식,사시미"
서산,태능갈비,서산시 대산 가로림로 56-1(대산리),041-681-5252,"모듬생고기,돼지갈비"
서산,바다나라식당,서산시 대산 삼길포1로 161-7(화곡리),041-669-4835,"활어회,매운탕"
서산,삼길포횟집,서산시 대산 삼길포1로 34(화곡리),041-664-8254,"활어회,매운탕"
서산,기꾸,서산시 율지8로 60(동문동),041-669-9800,기꾸정식
서산,거북이횟집,서산시 율지6로 45(동문동),041-668-6116,"광어회,우럭회"
서산,서령산아구,서산시 율지7로 8(동문동),041-669-1508,"아구찜,아구탕"
서산,청도,서산시 율지11로 8(동문동),041-663-6652,"탕수육,짬뽕"
서산,올리찜닭,서산시 율지11로 22(2층)(동문동),041-667-7869,"찜닭,오리바베큐"
서산,등촌샤브칼국수,서산시 율지3로 11(동문동),041-665-8898,버섯매운탕칼국수
서산,신촌설렁탕,서산시 율지19길 33(동문동),041-666-9200,"신촌설렁탕,갈비찜"
서산,서산촌닭,서산시 율지16로 15(동문동),041-669-6122,"토종백숙,삼계탕"
서산,세림정,서산시 율지19길 59(동문동),041-666-0072,한정식
서산,두솔숯불갈비,서산시 율지16로 25(동문동),041-665-1880,숯불갈비
서산,한우와달구지,서산시 율지8로 59(동문동),041-665-3190,"불고기,갈비탕"
서산,현대한우촌,서산시 율지17로 21(동문동),041-665-3271,"생등심,특수구이"
