지역,분류1,카테고리,숙박업소명,주소,좌표(x),좌표(y),전화번호,홈페이지Url,객실정보,상세내용,이미지1
공주,stay,한옥스테이,공주한옥마을,충남 공주시 관광단지길 12 ,36.4643416,127.109189,041-840-8900~6,http://hanok.gongju.go.kr/,"고마관(8동),나루관(3동),웅진관(5동),백제관(8동),무릉관(5동),도원관(8동)","전통과 현대가 공존하는 어울림의 미학이 있는 공주한옥마을.
'현대인의 새로운 문화를 전통으로 연결, 그 가치를 높여주는 아름다운 마을'에서 소중한 인연, 잊지 못할 추억을 남겨보세요.

공주한옥마을은 한국 전통난방으로 구들장 체험이 가능한 시설로 설계되었고, 친환경 건축양식인 소나무·삼나무 집성재 사용, 도시·현대인들이 머무는데 편리하도록 설계된 신 한옥으로, 가족여행, 수학여행, 기관·단체의 워크숍 등 관광과 휴양으로 아주
훌륭한 곳입니다.

그리고 공주한옥마을에 오시면 백제문화를 체험으로 배울 수 있는 전통문화체험이 기다리고 있습니다. 한옥마을 곳곳에
 휴식공간과 한옥마을 둘레길을 걸어도 좋고, 무인자전거를 빌려타고 작은도시·옛도시(古都) 문화유적을 만나셔도 좋습니다. ",11.jpg
보령,stay,관광호텔,호텔머드린,충남 보령시 해수욕장8길 28,36.3140192,126.511904,041-934-1111,http://www.mudrin.com/,"총 객실 100(스탠다드 38, 디럭스 29, 스위트 9, 한실 24)","호텔 머드린은 객실을 포함한 호텔의 모든 구역에 인터넷과 WiFi를 무료로 제공하고 있으며, 가족과 오붓한 식사가 가능한 '아라'레스토랑, 연인과 와인을 즐길수 있는 '더블루', 단체노래방'린가' 등을 통해 더 많은 고객들께 가까이 다가서고자 노력하고 있습니다.

또한, 세계적인 휴양지로 거듭나는 서해안 관광벨트 핵심위치에 있는 대천 해수욕장은 도양 최대규모로 연간 1400만명의 관광객이 찾고 있으며 매년 7월이면 열리는 보령 머드축제는 국내뿐만아니라 국제적으로 인지도가 높아 세계적 휴양지로 알려지고 있으며, 향후 연간 2000여 만명의 관광객이 찾게 될 지역으로 늘어나는 관광객 수요에 맞추어 양질의 편의시설을 제공하고자 합니다.",12.jpg
보령,stay,관광호텔,JFK대천워터파크호텔,충남 보령시 대해로 876,36.3069359,126.51854,041-930-2000,http://club-master.co.kr/,"총 객실 174(스탠다드 111, 디럭스 56, 스위트 8)","대천 해수욕장에 위치한 대천 워터파크 호텔은 4,200여 평 부지 위에  자리잡은 국내 최초의 비치형 워터파크로, 천혜의 자연환경을 자랑하는 아름다운 해변과 워터파크의 다이나믹한 즐거움이 함께합니다.  
  
또한 바다가 조망되는 호텔과 격조 높은 연회장 그리고 싱싱한 식자재를  바탕으로 한식음시설 및 연중 열리는 크고 작은 이벤트까지 자연과 인간, 건강과 문화가 한데 어우러져 사계절 종합 휴양지로서 국내 새로운 해양레저문화에 앞장서고 있습니다. 
  
일상의 스트레스를 벗고 오감을 만족하는 여유와 리플레쉬, 이 모든 것을 대천 워터파크 호텔에서 경험해 보십시오.  

가족 단위의 휴식처로서, 해양스포츠의 메카로서 연간 1천 5백만 명 이상이 방문하는 서해안 최대의 휴양지 대천해수욕장. 그곳에 자리잡은 대천 워터파크 호텔은 국내 최초 바다 옆에 위치한 비치형 워터파크입니다. 
아름다운 해변에서 즐기는 해수욕뿐 아니라 액티브한 어트랙션이 가득한 신나는 워터파크까지 이제 원스톱으로 다양한 해양문화를 즐겨보십시오. ",13.jpg
보령,stay,콘도/리조트,한화리조트 대천파로스,충남 보령시 해수욕장3길 11-10,36.3049671,126.519721,041-931-5500,http://www.hanwharesort.co.kr/,총 객실 305,"아름다운 저녁 노을과 대천해수욕장의 풍경이 어우러진 서해안 최초의 리조트, 한화리조트 대천 파로스 입니다. ",14.jpg
보령,stay,콘도/리조트,비체팰리스,충남 보령시 웅천읍 열린바다1길 78,36.239273,126.531493,041-939-5757,http://www.beachepalace.co.kr/,총 객실 236,"빛과 생명이 살아있는 해양리조트 비체팰리스는 서해안에서 가장 아름답고 고즈넉한 곳입니다.
만리포와 대천, 무창포로 이어지는 서해안에서 그 누구도 쉽게 발견하지 못했던 진주같은 휴양지입니다. 푸른 빛이 넘실대는 바다와 생명이 살아 숨쉬는 갯벌, 바닷길이 갈라지는 놀라운 기적까지 무창포 비체팰리스에서라면 모두 즐길 수 있습니다.",15.jpg
보령,stay,콘도/리조트,대천리조트 웨스토피아,충남 보령시 옥마벚길 10,36.334128,126.616375,041-939-3600,http://www.westopia.co.kr/,총 객실 100,"대천리조트는 고품격 골프장과 콘도, 레일바이크 시설을 조성하고 고객감동 서비스를 통해 서해안을 대표하는 가족형 리조트로서의 인지도를 높여나가고 있습니다.",16.jpg
보령,stay,펜션,바다사랑,충남 보령시 대천항1길 67-30 ,36.3242083,126.504602,041-932-8555,http://www.sealover.kr/ ,"럭셔리룸 8개실, 디럭스룸 6개실, 캠핑카 3개","아름다운 펜션 아름다운 휴식....

그리스 산토리니를 품은 대천 바다사랑 펜션 홈페이지에 오신 것을 환영합니다.

대천 바다사랑 펜션은 아름다운 대천 해수욕장과 대천항이 한눈에 보이는 바닷가 언덕위에 자리 잡은 통나무 펜션으로서 MBC 러브하우스의 이창하 디자이너가 리모델링한 서해안의 명소입니다.

연인이 포옹하고 있는 형상의 아름다운 건축구조, 지중해 및 젠 스타일의 인테리어와 넓은 마당, 탁트인 바다, 서해안 최고의 전망은 아름다운 자연경관과 어우러져 서해바다의 낭만과 여행의 정취를 더해 줄 것입니다.

아름다운 휴식과 남다른 추억을 선사하는 관광펜션 바다사랑으로 당신을 초대합니다.",17.jpg
보령,stay,펜션,고향펜션,충남 보령시 머드로 166,36.3189001,126.508889,041-934-1455,http://www.ghminbak.com/,"커플룸(침대방), 가족실(4,5,6인실), 단체실(12,20,25인실)","고향관광펜션은 서해안고속도로 보령IC 대천해수욕장 방향에서 자동차로 약 5분 소요되는 거리의 대천해수욕장내 분수광장쪽에 위치하고 있으며 백사장과의 거리는 도보로 1분거리이며 대천항 수산물시장까지 자동차로 3분거리에 있어 저렴한 가격으로 생선회는 물론 어패류를 구입하실 수 있습니다.
건물구조는 연 3층으로서 소형원룸 4인실, 대형원룸 15인실, 투룸 12인실 침대방 등으로 구성되어 있으며, 바베큐장 6인탁자 4개도 무료로 이용하실 수 있습니다.",18.jpg
보령,stay,펜션,준펜션,충남 보령시 해수욕장13길 11-1,36.3205682,126.509101,070-8806-4114,http://www.joonpension.com/,"침대실(원룸형), 4인실(원룸형), 5인실(원룸형), 7인실(투룸형), 9인용(투룸형), 대형실, 복층실","사랑하는 사람들과의 아름다운 추억을 대천해수욕장 준펜션이 만들어 드립니다.
일렁이는 파도와 조개껍질로 이루어진 해변은 소중한 추억에 설레임을 더합니다.

나무한그루 한그루, 벽돌 하나하나에 세심한 정성이 보이는 준펜션은 공간 하나하나에 정성을 담아 손님들이 편하게 쉴 수 있도록 세심하게 준비하였습니다.

기억을 소중히 간직하며, 그것이 가장 행복임을 느끼는 저와 함께 추억을 만드실 분들을 기거이 초대합니다.",
보령,stay,펜션,해날펜션,충남 보령시 해수욕장9길 1,36.315828,126.511291,041-933-3261,http://www.041-933-3261.kti114.net/idx.htm,,"대천해수욕장 입구 펜션, 보령커플펜션, 보령 MT, 가족펜션!

내집가이 편안한 휴식처로 느낄 수 있는 해날펜션은 취사시설과 샤워실, 주차시설등 부대시설이 완벽히 갖추어져 있습니다.
각종 단체 관광객, 커플, 회식모임 등 손님한분한분께 정성을 다하여 만족시켜드리기 위한 노력을 다하겠습니다.
좋은 사람과의 좋은 만남, 맛있는 식사와 함께 맑은 공기속에서 편안히 쉬시면서 삶의 여유를 찾아가시기 바랍니다.",20.jpg
보령,stay,펜션,제일펜션,충남 보령시 해수욕장9길 6,36.3160896,126.511357,041-932-0649,http://www.thefirstpension.com/,"복층, 투룸, 침대객실, 온돌객실","제일펜션은 서해의 아름다운 바다를 중심으로 이뤄진 천혜의 자연테마를 기반으로 아름다운 시설과 편안함을 갖춘 펜션입니다.

사랑하는 연인/가족과 함께 멋진 추억 여행을 떠나고 싶은 분들을 위해 제일펜션이 소중한 추억 오래오래 간직하실 수 있도록 도와드리겠습니다.
풍부한 즐길거리가 자라인 보령시의 명물, 대천해수욕장~
서해안 고속도로의 개통으로 더욱더 가까워진 대천해수욕장은 오감을 자극하는 다양한 먹거리와 즐길거리가 있는 곳입니다.",
보령,stay,펜션,블루비치,충남 보령시 머드로 130,36.3176084,126.525924,041-931-5259,http://www.bbeachpension.com/,"소형객실, 중형침대, 중형온돌, 대형객실, 복층객실, 투룸B, 투룸A","파란바다를 바라보며 아름답고 소중한 추억을 만들어 드리는 블루비치펜션은 고객 한분한분에게 정성을 다해 모십니다.
다양한 객실이 마련되어 있어 가족,연인은 물로 단체관광객도 충분히 지낼수 있는 넓은 객실로 여러분의 취향에 좀 더 가까이 다가갈수 있습니다.
추억이 그리운분, 일상에서 벗어나 마음껏 자유를 느끼고자 하는 분은 블루비치펜션에서 마음가득 바다를 담아가시기 바랍니다.",22.jpg
보령,stay,펜션,아도니스,충남 보령시 머드로 134,36.313402,126.512944,041-932-0018,http://www.adonispension.com/,"침대하나, 침대두울, 소형객실, 중형객실, 투룸객실","특별한 추억을 남기고 싶으신분들에게 아도니스가 추억을 더해드립니다.
좀더 특별한 경험을, 좀더 새로운 추억을 만들고 싶으신 여러분을 위해 편안한 잠자리를 제공해 드립니다.
고객의 입장에서 배려하는 아도니스가 되며, 항상 내집같은 편안함으로 정성을 다하도록 하겠습니다.",23.jpg
보령,stay,펜션,썬샤인관광펜션,충남 보령시 해수욕장13길 14-18,36.319622,126.509677,010-7174-6346,http://www.dcsunshine.com/,"커플룸, 4/5/7/10인실(원룸), 7/15/30인실(복층)","푸른바다를 바라보며 아름답고 소중한 추억을 만들어 드리는 썬펜션은 깨끗한 자연환경이 그대로 남아있는 보령 대천해수욕장에 위치한 펜션입니다.

추억이 그리운분, 일상에서 벗어나 마음꺼 자유를 느끼고자 하시는분은 썬펜션을 찾아 마음가득 바다를 담아가시기 바랍니다.

객실은 커플침대, 복층객실, 대형객실등 다양하게 준비되어 있어서 가족단위는 물론 단체,모임 관광객들도 편안하게 묵으실 수 있습니다.",24.jpg
보령,stay,펜션,해피데이 펜션,충남 보령시 머드로 127,36.3176084,126.525924,041-931-0095,http://www.happydaypension.com/,"커플객실, 소형객실, 중형객실, 복층객실","대천해수욕장에 위치한 해피데이 펜션은 머드광장에 위치한 바다가 보이는 펜션입니다.
평범한 일상에서 벗어나고 싶으신 분들…
지루한 생활에서 일탈을 꿈구시는 분들을 초대합니다.

대천해수욕장의 낙조를 바라보고, 해변을 걸으며 연인,가족들과 즐거운 추억을 쌓으실 수 있습니다.",
보령,stay,펜션,햇빛바다 관광펜션,충남 보령시 오천면 원산도리 7길 121,36.359974,126.4572,041-936-4277,http://www.sunshinecv.com/sunshinecvh/intro.html,"커플룸(4개실), 가족룸(10개실), 단체룸(복층형 1개실)","서해안에 위치한 원산도..
병풍처럼 둘러쌓인 오봉산과 눈부신 백사장이 아름다운 해수욕장...

푸른바다 내음과 푸른 해송이 전하는 햇빗바다관광펜션입니다.

팬션 뒤, 해발 약 200m의 오봉산에는 20여만평의 울창한 소나무 숲이 조성되어 있어 싱그러운 솔향기를 따라 산책과 함께 등산 및 산림욕을 즐기실 수 있고, 고운 모래와 깨끗한 수질, 완만한 경사, 알맞은 수온을 자랑하는 오봉해수욕장이 펜션 바로 앞에 있어 누구나 부담없이 해수욕을 즐기실 수 있습니다. 

또한, 갯바위 어디서나 놀래미, 우럭, 살감성돔 등 각종 어류를 잡을 수 있고, 인근 바다에서는 계절별로 선상낚시를 즐기실 수 있습니다. 조개, 낙지잡이 등 초보자는 물론 어린이들까지도 재밌게 갯벌체험을 하실 수 있으며 한폭의 수채화처럼 펼쳐지는 아름다운 석양은 낭만적인 데이트코스로 좋습니다. 

천혜의 자연을 갖춘 햇빛바다관광펜션에서 좋은 추억을 많이 남기세요.",26.jpg
보령,stay,펜션,펜션 좋은집,충남 보령시 성주면 심원계곡로 374,36.3487415,126.679155,041-933-0615,http://www.brpension.com/,"별관원룸, 본관원룸, 쓰리룸","보령 성주산자연휴양림에 자리잡은 '물좋은집'은 계곡옆에 위차하고 있어 시원한 계곡을 같이 즐길수 있으며, 피톤치드가 나오는 목조펜션으로 산장에서 휴식하는 색다른 기분을 만끽할 수 있습니다.
펜션 주변 계곡옆에 평상이 설치되어 있어 평상과 계곡물놀이를 같이 이용할 수 있는, 가족들이 휴가를 즐기기에 더없이 좋은 펜션입니다.
또한 펜션주변에 대천해수욕장 20분, 무창포해수욕장 25분 거리에 위치하고 있는 산과 바다를 같이 즐길 수 있는 휴양지입니다.",
보령,stay,펜션,대천올레펜션,충남 보령시 고잠2길 16-11,36.3119824,126.516293,010-3657-4654,http://www.ollehpension.kr/,"2인온돌, 4인온돌, 복층침대, 월풀침대, 투룸","낙조가 아름다운 곳, 서해의 대표해수욕장 올레펜션은 머드축제가 열리는 머드광장과 야경이 아름다운 시민탑광장의 중심에 위치하고 있으며, 객실에 월풀욕조가 있어 새로운 느낌을 느낄수 있는 펜션입니다.
가족,친구,연인고 함께 아름다운 추억을 만들고, 도심에서 벗어나 자유로움을 만끽하실 수 있으며, 노을을 보며 일상에서 벗어난 여유로움도 한껏 느끼시기 바랍니다.",28.jpg
보령,stay,펜션,대천초록펜션,충남 보령시 고잠2길 20-6,36.311999,126.515948,010-2271-3426,http://www.chorokpension.kr/,"2인온돌, 4인온돌, 복층침대, 월풀침대, 투룸","낙조가 아름다운 곳, 서해의 대표해수욕장 올레펜션은 머드축제가 열리는 머드광장과 야경이 아름다운 시민탑광장의 중심에 위치하고 있으며, 객실에 월풀욕조가 있어 새로운 느낌을 느낄수 있는 펜션입니다.
가족,친구,연인고 함께 아름다운 추억을 만들고, 도심에서 벗어나 자유로움을 만끽하실 수 있으며, 노을을 보며 일상에서 벗어난 여유로움도 한껏 느끼시기 바랍니다.",29.jpg
보령,stay,펜션,그린펜션,충남 보령시 해수욕장13길 15,36.320597,126.509524,041-933-4744,http://www.greenpension.co.kr/,"소형객실, 대형객실, 투룸객실","대천해수욕장 분수광장 구역에 위치하고 있는 최신식 완전펜션형 민박인 그린펜션은 건물앞에 서면 대천해수욕장 앞바다가 보이고 분수광장에서 펼쳐지는 화려한 분수쇼를 감상하실수 있습니다.
바비큐그늘막 시설에서 고기와 조개를 구워 먹으며 바닷가여행에서 맛 볼 수 있는 또 다른 즐거움을 느낄수 있습니다.
대천항이 2~3분거리에 있어 싱싱한 해산물을 저렴하게 구입하여 직접요리 할 수도 있으며, 갯벌체험장 또한 5분거리내에 있어 단체나 가족단위의 손님들께서도 특별한 체험여행을 하실 수 있습니다.",30.jpg
보령,stay,펜션,대천로마펜션,충남 보령시 해수욕장13길 14-12,36.3198761,126.50954,041-932-0421,http://www.lomapension.com/,"소형객실(침대,온돌), 중형객실(원룸온돌), 중대형객실(원룸온돌), 대형룸, 투룸","하얀구름 그리고 파란바다와 파도, 멋진추억을 함께 하실수 있는 대천 로마펜션은 친구들, 연인, 가족, 직장워크샵, 단체MT 등 모든유형의 고객분들을 불편함없이 쉬고 가실 수 있도록 객실에서 부터 모든 편의시설이 준비되어 있습니다.
다양한 먹거리와 볼거리가 있는 서해안의 명소 대천해수욕장에서 잊지못할 추억을 듬뿍 담아가시기 바랍니다.",31.jpg
보령,stay,펜션,햇살콘도식펜션,충남 보령시 머드로 176-18,36.3193145,126.508842,041-932-1910,http://www.sunshinepension.com/,"침대객실, 일반객실(원룸,투룸), 중형객식(원룸,투룸)","뜨거운 더위를 피해 시원한 바닷바람과 바닷속으로 들어가면 어느덧 파란 바람내음이 담기는 그곳!
대펀해수욕장에 자리잡은 햇살펜션에서 지친 몸과 마음에 에너지를 불어넣어보세요.
머드축제와 짚트랙등 다양한 레포츠도 할 수 있으며, 해가 저무는 낙조를 바라보며 해변가를 걷는 기분도 대천해수욕장에서 느낄수 있습니다.",
보령,stay,펜션,미래펜션,충남 보령시 해수욕장13길 14-16,36.3197592,126.509608,041-931-7441,http://www.miraecondo.com/,"소형(4인 이하), 중형(7인 이하), 대형(15인 이하)","여행의 또다른 즐거움인 바비큐파티와 욕실,샤워실,화장실등 다양한 편의시설이 가춰져 있는 미래펜션에서 아름다운 추억을 담아가시기 바랍니다.",33.jpg
보령,stay,펜션,나노펜션,충남 보령시 해수욕장13길 14-26,36.3193007,126.509878,010-6424-2432,http://www.nanopension.co.kr/,"대형룸, 투룸 5개. 7인실, 4인실, 침대룸",대천해수욕장 분수광장에 위치한 ,34.jpg
보령,stay,펜션,대천놀러와펜션,충남 보령시 고잠2길 16-10,36.31173,126.516283,010-3603-2876,http://www.daecheonplay.com/,2인침대 4인온돌 6인온돌 10인복층 2층독채 3층독채 풀빌라 주변전경,"때론 우리는 현실의 무거운 짐을 내려놓고 어디론가 떠나고 싶을 때가 있습니다.
앞뒤가 딱 막힌 이 답답한 도시속에서 확트인 바다를 생각하며 현실의 일탈을 꿈꾸기도 합니다. 
빵빵거리는 차소리대신 새의 지저귐과 파도소리를 듣고 숨막히는 공기 대신 피통치드의 효과를 느낄 수 있는
숲의 향기와 함께 호흡하면 좋겠습니다.

자유라는 말이 참으로 잘 어울리는 당신을 초대합니다.
혼자라도 상관없고 함께여도 좋습니다.
 함께 만들어갈 아름다운 추억을 꿈꾸며 놀러와 펜션입니다",35.jpg
보령,stay,펜션,대천즐겨찾기,충남 보령시 고잠2길 16-6,36.3116754,126.51615,010-6413-3803,http://www.fvpension.com/,"6인 투룸, 6인 원룸 4인 원룸, 2인침대  2인용","낙조가 아름다운 대천 해수욕장 즐겨찾기 펜션입니다.
저희 즐겨찾기 펜션은 모던하고 세련된 감각의 인테리어로 보다 격조 있는
서비스로 고객을 맞이할것입니다.

객실마다 마련된 개별바비큐시설과 품위 있는 시설의
저희 펜션에서 아름다운 추억을 만들어 가시기 바랍니다.

아름다운 해변의 낙조와 편안한 분위기의 즐겨찾기는
지친 몸과 마음에 힐링이 되어드립니다.

저희 즐겨찾기 펜션에서 좋은 추억 만들어 가시기 바랍니다.
즐겨찾기 펜션은 항상 기억에 남을
여행을 위해 최선을 다하는 펜션이 될것입니다.",36.jpg
