번호,출처,지역,업종,상호명,주메뉴,주소,연락처,소개,
20,충남추천맛집,공주,한식,귀빈식당,"산더덕정식, 산채정식, 청국장정식",충청남도 공주시 사곡면 마곡상가길 12,041-841-8027,"한번 맛보면 잊지 못할 맛의 진수!
공주의 대표 맛집으로 산채정식에는 25가지의 반찬이 나오며 계절에 따라서 나물이 바뀐다. 정식에 나오는 반찬 중에 깻잎장아찌가 있는데 된장에 박아 놓았다가 양념을 바른 맛이 특히 일품이다. 청국장은 국산콩 100%이며 직접 띄워맛과 향이 시골집에서 먹었던 진한 그맛 으로 시중에서 살 수 있는 청국장과는 맛이 전혀 다르다.",
21,충남추천맛집,공주,한식,도토리묵촌,"도토리묵밥, 도토리떡국",충청남도 공주시 관골1길 34-15,041-856-6963,"담백하고 영양이 듬뿍 담긴 도토리 요리
국내산 도토리와 콩으로 직접 묵과 두부를 요리하는 전통 묵요리 전문점이다. 도토리 는 저칼로리로 여성들의 다이어트에 좋으며 식감이 부드럽고 많이 먹어도 소화가 잘 되어 먹기가 참 좋다. 도토리로 만든 떡국은 도토리 향이 떡국에 그대로 배어있어 더욱더 구수하며 웰빙식품으로 미식가들이 많이 찾고있다.",
22,충남추천맛집,공주,분식,매향막국수,"맷돌평양냉면, 맷돌메밀막국수",충청남도 공주시 백미고을길 18,041-881-3161,"매일 아침마다 대형맷돌로 메밀을 직접갈아 만드는 집
공산성 백미고을에 위치해 있으며 메밀과 우리 밀을 현장에서 맷돌로 직접 갈아서 만든 평양냉면과 막국수는 면에 메밀고유의 향이 살아 있고 쫄깃하며 부드러운 맛을 자랑한다. 메밀은 탄수화물이 풍부하며, 단백질과 지방을 약간 포함한다. 또한 철분을 비롯해 니아신, 티아민, 리보플라빈 등 비타민B복합체가 많이 들어 있다. 외지에서도 많이 찾아올 정도로 소문난 맛집이다.",
23,충남추천맛집,공주,한식,새이학가든,"공주국밥, 석갈비",충청남도 공주시 금강공원길 15-2,041-855-7080,"역대 대통령들이 맛보았다는 전통의 공주국밥
60여 년 전통과 대를 이은 공주국밥 전문점으로서 옛 맛을 지키면서 젊은 세대도 즐 길수있는 국밥을 개발하여 관광객의 발길이 끊이지 않고 있으며 전직 대통령들이 찾았던 전통이 있는 유명한 집이다. 보통의 국밥이 밥과 국이 한 그릇에 담겨 나오는데 반해, 공주국밥은 국과 밥이 따로 나와서 ‘따로국밥’이라고도 하며 고육의 미각을 살 린 상차림으로 한결같은 인기를 누리고 있다.",
24,충남추천맛집,공주,한식,수정식당,"비빔밥, 버섯전골, 더덕구이","충청남도 공주시 계룡면 갑사로 476-16, 1층",041-857-5164,"향긋한 더덕구이와 버섯전골 전문점
수정식당은 계룡산에서 열리는 각종 행사소식과 아울러 자연과 어우러지는 여러가지 풍경사진과 계룡산의 사계를 볼 수 있다. 갑사 집단 상가에 위치한 업소로 그동안 수정식당을 이용한 유명인사의 친필사인과 사진이 식당 내 벽에 장식되어 있어 얼마 나 많은 미식가가 다녀갔는가를 입증하여주고 있다. 버섯전골, 산채비빔밥, 더덕구이 등 산채음식전문 식당이다.",
25,충남추천맛집,공주,한식,양반찜갈비,"갈비찜, 돌솥밥",충청남도 공주시 봉산길 20,041-855-7590,"맛있게 매운 양념갈비찜
돼지갈비에 고추장 양념을 하고, 김치와 함께 익혀낸 찜갈비로 명성이 높은 공주 맛집이다. 친정집에서 직접 농사지은 고춧가루를 사용하여 매콤하고 깊은 맛을 자랑하며 양념이 골고루 잘 저며져 있어 갈비와 양념이 찰떡궁합을 이룬다. 주인장의 비법이 담긴 고추장양념은 돼지갈비 본연의 맛을 살리면서도 잡냄새등을 잘 잡아 갈비의 맛을 북돋우는 역할을 한다. 묵은지는 직접 김치를 담가 익힌 것으로 양념을 아끼지 않아 넉넉하게 넣은 인심좋은 주인의 손맛을 볼 수 있다.",
26,충남추천맛집,공주,한식,어씨네본가,"장어구이, 참게매운탕",충청남도 공주시 반포면 창벽로 714,041-852-7372,"50년 전통 2대째 이어오는 전통의 맛집
시어머니로부터 그대로 물려받은 솜씨로 2대 50여년을 이어온 전통 있는 맛집으로 장어구이 양념재료는 계룡산자락에서 채취한 토종꿀이 들어가 깊은 맛을 더한다. 장 어는 비타민A의 함량이 뛰어나 옛날부터 보양, 강장식품으로 널리 알려져 있다. 특히 이 집의 장어구이는 특제양념을 골고루 묻혀가며 숯불에 구워 껍질이 바삭하고 살은 두툼하고 푹신하여 입소문을 듣고 먼 곳에서도 많이 찾아 온다. 참게매운탕은 암컷만으로 골라끓여 그맛이 진하다.",
27,충남추천맛집,공주,한식,태화식당,"더덕정식, 능이버섯전골",충청남도 공주시 사곡면 마곡상가길 10,041-841-6387,"전통문화를 보존해가는 명인이 끓여내는 맛의 진수!
50여 년간 3대째 내려오는 온고지신 전통문화 가정으로 2대 윤순옥씨는 한국전통음 식명감에 선정 수록된 전통명장이기도 하다. 능이버섯전골은 능이버섯을 비롯한 각 종버섯이들어가다양한버섯의 향과 맛을 한번에 즐길 수 있으며20여가지 각종 산채나물이 맛깔스럽게 반찬으로 나와 관광객이 자주 찾는 음식점이다. 언론에는 자주 방영되어 식당의 역사만큼 단골손님도 많다.",
28,충남추천맛집,공주,한식,장승마을식당,"돌솥밥 고추장숯불구이, 돌솥밥 청국장",충청남도 공주시 사곡면 유구마곡사로 1227,041-841-7728,"지역 농산품을 이용하여 정성껏 조리한 명품 업소
식당으로 들어가는 입구에서는 누구나 석쇠 위에서 고기를 굽는 모습을 볼 수가있다. 즉석에서 바로하는 음식으로 청국장 및 두부를 직접 만들고 돌솥밥 또한 그맛이 일품이다. 식사 후 장승마을 관광농원이 있어 관광객들이 많다.",
29,충남추천맛집,공주,한식,공주식당,"더덕정식, 산채비빔밥",충청남도 공주시 사곡면 마곡상가길 13-4,041-841-5913,"채소를 직접 재배하여 조리함
오염되지 않은 산과 들에서 나는 갖가지 산나물에는 특유의 향과 맛, 효능이 살아 숨 쉬고 있다. 그 향과 맛 을 한 그릇에 모두 담아 내는 산채비빔밥은 고추장을 한술 넣어 비비면 자연의 맛이 그대로 전해져 온다. 청 결하고 맛좋다고 소문난 공주식당은 손님이 끊이지 않 고 있다.",
30,충남추천맛집,공주,한식,주봉마을우렁촌,"우렁쌈장쌈밥, 우렁쌈장돌솥밥",충청남도 공주시 이인면 검바위로 712,041-857-0949,"한적한 시골마을에서 직접 재배한 채소와 우렁이를 맛본다
유기농 쌈채소와 우렁을 직접 재배하고 토속적인 맛을 지키기 위해 된장도 재래식으로 직접 담아서 사용한다. 우렁이는 저지방 고단백의 훌륭한 다이어트 식품이며 간에도 탁월하며 과음 후 해장음식으로 좋으며 쫄깃하고 담백한 맛이 각종 채소와 어우러져 그맛이 일품이다.",
31,충남추천맛집,공주,한식,소학장수촌,"누룽지백숙, 닭볶음탕, 쟁반막국수",충청남도 공주시 소학길 13,041-853-0555,"텃밭에서 직접 재배한 신선한 야채로 겉절이를 담아 백숙과 잘 어울림
소학장수촌은 공주 인근에서 누룽지백숙으로 유명세를 타는 맛 집이다. 뼈와 살이 쉽 게 분리될 정도로 푹 익힌 닭고기는 야들야들하면서도 고소하고 현미로 만드는 죽과 누룽지는 담백하면서도 구수하고, 매콤한 겉절이는 백숙과 조화를 이루어 그 맛이 일 품이다.",
32,충남추천맛집,공주,한식,백억관,"홍어회냉면, 산채비빔밥",충청남도 공주시 계룡면 양화새말길 41-4,041-852-0683,"지친 속을 풀어주는 화끈한 홍어회냉면
한적한 시골마을에 자리한 백억관은 홍어회냉면으로 유명하다. 물기 없이 무쳐낸 홍어회냉면은 매콤한 맛이 일품이며 한번 먹으 면그맛이자꾸생각난다.",
33,충남추천맛집,공주,한식,황태갈치전문점,"갈치, 고등어조림정식, 황태구이백반",충청남도 공주시 느티나무길 66,041-854-7707,"생선과 우거지의 환상적인 조화
오동통한 갈치와 고등어 우거지와 함께 조리해 그 맛이 일품이다. 구이뿐만 아니라 조림은 국물 맛이 좋아 배불 러도자꾸먹게만드는매력이있다.",
34,충남추천맛집,보령,일식,죽도보물섬식당,"자연산 활어회, 매운탕",충청남도 보령시 남포면 남포방조제로 408-91,041-931-9961,"아름다운 낙조와 함께하는 자연산 활어회
대천해수욕장과 무창포해수욕장 사이의 죽도라는 조그만 섬에 위 치하고 있다. 바닷가를 끼고 있으며, 보령의 아름다운 낙조를 보며 식사할 수 있는 곳으로 바다낚시꾼과 스킨스쿠버 다이버들이 즐겨찾는 곳이다.",
35,충남추천맛집,보령,한식,궁중수라상,"간장게장, 한정식",충청남도 보령시 신설1길 79,041-932-0708,"효소를 넣어 깔끔하고 담백한 간장게장
한정식 전문점으로써 충청남도의 자랑스러운 사업인 외식업 로컬푸드 인증제도인 ‘미더유’ 음식점에 대표로 선정된 보령의 맛집 궁중수라상이다. 항아리에 오랫동안 재료들을 숙성시킨 효소를 이용해서 천연 재료로 음식을 만들기 때문에 인공 조미 료나 향료 같은 건 쓰지 않는다. 항상 자연 그대로의 신선한 재료로 음식을 만들고 있다.",
36,충남추천맛집,보령,한식,도래죽전문점,"전복죽, 백합죽",충청남도 보령시 대해로 443,041-933-8000,"서해연안에서 채취되는 자연산 백합을 사용
서해연안에서 채취되는 자연산 백합을 재료로 사용하여 횟 감으로이용할뿐아니라,죽으로요리하여깊은맛을느낄수 있으며, 콜린, 다이신 효소가 다량 함유되어 있어 숙취에 좋다. 함께 맛볼 수 있는바지락칼국수는 엄청난양과 맛으로도 유명하다.",
37,충남추천맛집,보령,한식,산수림한정식,"한수림한정식, 미한정식, 수한정식, 수라정식",충청남도 보령시 옥마역길 85,041-933-8874,"성주산자락에서 맛보는 전통한정식
사방이 탁트인 성주산자락에 자리하여 격조 높은 분위 기와 정갈한 음식으로 많은 고객들로부터 호평 받고 있 는 업소로 바닷가재, 자연송이구이, 수수부꾸미, 장어구 이, 새뱅이탕 등 30여 가지가 넘는 전통 음식이 준비되 어 있다. 조경이 잘 되어 있고 전망이 좋아 식사 후 휴식 을 취하기 좋다.",
38,충남추천맛집,보령,한식,가든터,"굴밥정식, 굴물회",충청남도 보령시 천북면 홍보로 666,041-932-2989,"원기회복 최고 음식 ‘굴’
굴요리 전문점으로 충청남도에서 인정한 로컬푸드-미더유 인증업체로 인기 메뉴로는 굴밥정식과 굴 물회다. 굴밥정식을 주문하면 굴 물회와 굴 숙회, 굴회가 제공된다. 사장 님은이곳토박이로굴저장방식과음식을만드는데있어서여러가지경험을거쳤고, 그 노하우가 오늘의 맛으로 보답되고 있다. 주재료인 굴은 천북 굴만을 고집한다.
",
39,충남추천맛집,보령,한식,세영숯불갈비,"돼지갈비, 유기농쌈밥",충청남도 보령시 보령남로 9,041-932-2686,"숯불구이 한정식 전문점
A플러스 이상의 엄선된 최고육질의 고기를 사용하여 부드럽고 고소하며 감칠맛이나는 갈비를 맛볼 수 있는집이다. 고객감동을 최우선으로 하는 전통있는 업소로서 맛, 친절, 청결이 묻어있는 보령의 대표갈비집이다.",
40,충남추천맛집,아산,한식,아산정,"장어구이, 참게장",충청남도 아산시 인주면 아산만로 1608,041-533-9925,"한옥의 멋을 즐기면서 먹는 장어구이
1930년대 서울에 지어진 한옥을 그대로 옮겨온 아산정 장어구이집은 큰 기와집으로 대문을 열고 들어서면 아담한 정원이 가운데 있고 그 둘레로 고풍스런 객실이 나란히 있어 한옥의 멋을 즐기면서 먹는 장어구이 맛이 각별하다. 간장소스와 고추장을 발라 맛깔스럽게 구운 장어구이와 함께 소화와 해독에 좋은 여러 가지 산야초를 더하여 만 든 참게장이 일품이다.",
41,충남추천맛집,아산,한식,옛날돌집,"장어구이, 장어탕",충청남도 아산시 인주면 아산만로 1548번길 12,041-533-6700,"맛깔스럽고 담백한 장어구이의 명소
1976년 삽교천방조제 공사를 할 때 트럭에서 떨어진 돌을 손수레로 날라다 지은 집이 어서 상호도 돌집이고 어부생활을 했던 업소 사장님이 직접 잡았던 장어를 구워 팔던 때부터 유래되었다. 장어구이 양념은 장어의 본래 맛을 살려 차분한 맛이 특징으로 맛 깔스럽고 담백하다. 서해안 고속도로를 타고 아산만방조제와 삽교천방조제 사이에 있 는 인주장어촌 특화거리에 있는 이 집은 장어구이, 장어보양탕, 청국장 등이 맛있다.",
42,충남추천맛집,아산,한식,참숯 장어촌,"민물장어파김치전골, 장어구이",충청남도 아산시 인주면 아산만로1520번길 11,041-541-1255,"조리경연대회에서 금상을 수상한 맛 집
참숯장어촌 주인장은 허약한 체질로 인한 병을 장어 보양식으로 이겨낸 경험을 바탕 으로 식당을 개업했다고 한다. 보양식을 찾는 손님들이 많이 찾는 곳으로 2011년 아산 향토음식 맛자랑 전국 조리경연대회에서 금상을 수상한 맛집으로 파김치를 이용 한 장어전골은 참숯 장어촌에만 있는 특별한 메뉴다.",
43,충남추천맛집,아산,한식,현대생고기,"한우등심, 육회",충청남도 아산시 둔포면 둔포중앙로 180,041-531-3031,"육즙이 풍부하고 고소한 한우의 참맛
우선 신선한 한우만을 고집하여 날로 먹기 힘든 육회와 사시미의 제맛을 느낄수 있다.생고기를 숯불에 구워 먹는 한우등심은 고기가 신선하여 육즙이 풍부하고 고 소하며 부드러워 남녀노소 누구나 즐겨 찾으며 고기를 먹고난 후 먹는 칡냉면 또한 일품이다. 밑반찬까지 좋아 저렴한 가격에 맛깔스럽게 먹을 수 있어 항상 찾는 손님들이 많다.",
44,충남추천맛집,아산,한식,현대갈비,"생갈비, 생등심, 갈비탕",충청남도 아산시 충무로 8번길 9,041-545-7880,"40년 전통 한길만 걸어온 정직한 갈비의 맛
40년 동안 3대가 대를 이어온 전통 있는 갈비집이다. 엄선된 한 우만을 사용할 뿐 아니라 특유의 소스로 숙성 시킨 후 숯불을 이용하여 직화로 구워 먹는 맛이 일품이다. 온양온천역앞에 위치하여 온천욕을 즐기러 모여든 관광객들이 많이 찾는 소문난 맛집으로 저렴한 가격에 든든하게 먹을 수 있는 갈비탕 또한 인기이다.",
45,충남추천맛집,아산,한식,153갈비마을,"소갈비찜, 돼지갈비, 삼겹살",충청남도 아산시 남산로 55,041-542-8782,"갈비맛의 진수를 느낄 수 있는 곳!
1993년에 개업한 갈비 전문업소로 온양온천역에서 도보로 5분 거리에 위치해 있으며 일본 관광객들 사이에서 입소문이 먼저 나서 일본 및 동남아 등 외국인 관광객이 많이 찾아오고 있다. 자체 개발한 특별한 조리방법과 양념소스는 순한맛과 매운맛으로 선택하여 먹을 수 있고 육질이 부드럽고 담백한 갈비요리는 푸짐한 밑반찬과 함께 즐길 수 있다.",
46,충남추천맛집,아산,한식,낙원가든,"앉은뱅이갈비탕, 소양념갈비, 버섯생불고기",충청남도 아산시 음봉면 아산온천로 217-14,041-541-6866,"온천욕 후 즐기는 최고의 갈비탕
씨름선수도 한 그릇을 먹으면 일어서지못할 정도로 푸짐한 양과 맛 또한 뛰어난 앉은뱅이 갈비탕이 유명하다. 표고, 느타리, 팽이 등 다양한 버섯류와 야채, 그리고 비법의 육수로 끓여낸 전골식 식사는 온천욕 후 출출해진 허기를 달래주는 최상의 요리이다. 아산 스파비스 정문 앞에 위치하고 있다.",
47,충남추천맛집,아산,한식,하눌소,"고등어등심, 한우모듬, 갈비탕",충청남도 아산시 충무로 117,041-549-7979,"살살 녹는 토종한우의 참맛!
최고등급의 토종한우만을 취급하며 정육점도 같이 운영하여 신선하고 육질이 좋은 고기를 바로 맛볼 수 있으며, 그 맛을 잊지 못해 다시 찾는 고객들 사이에 입소문이 자 자하다. 모든 식재료는 국내산 우리 농산물만을 사용하며 넓고 깨끗한 실내와 맛깔스런 음식은 중요한 손님을 모시거나 가족단위의 식사에도 안성맞춤이다.",
48,충남추천맛집,아산,한식,선미네,"해물갈비매운탕, 해물닭볶음탕",충청남도 아산시 청운로 146번길 17,041-546-4391,"주인장의 손맛이 살아있는 명품 맛집
맛있는 음식에 대한 열정과 남다른 노력으로 항상 연구하는 맛집으로 온천욕 후에 즐기는 음식으로 MBC '찾아라 맛있는 TV'에 방영된 집이다. 대표메뉴인 해물갈비 매운탕과 해물 닭볶음탕은 푸짐하고 신선한 해산물과 닭 또는 돼지갈비를 넣어 끓이며 넉넉한 인심에 시원하면서도 깔끔한 맛을 자랑한다.",
49,충남추천맛집,아산,한식,소담,"대구탕, 한우꽃등심, 돼지석갈비",충청남도 아산시 충무로8번길 9-5,041-549-9222,"신선한 재료만을 사용한 최고의 국물 맛!
손맛이 좋은 사장님이 직접 주방에서 조리하여 맛이 변함이 없고 푸짐하며 모든 재료를 생물로 사용하는 특징이 있다. 고기종류도 냉동이 아닌 생고기를 사용해서인지 푸짐하고 시원한 국물 맛이 일품이다.",
50,충남추천맛집,아산,일식,설화일식,"설화모듬회, 생대구탕",충청남도 아산시 배방읍 배방로229번길 30-6,041-549-5525,"국내산 천연재료만을 고집하는 명품 맛집
18년 전통의 일식집으로 모든 식재료는 국내산만을 고집하며, 건강하고 신선한 바다의 맛으로 오직 고객의 건강과 입맛을 사로잡고자 연구하며 노력하는 집이다. 각종 야채에서부터 활어, 양념은 국내산만을 고집하며 조리시 화학조미료를 전혀 쓰지 않으며 모든 육수에도 천 연재료를 사용한다.",
51,충남추천맛집,아산,한식,여명회관 한정식,"영양돌솥밥정식, 영양연잎밥정식, 꽃게장정식",충청남도 아산시 충무로 8번길 16(온천동),041-534-7777,"천연재료만을 고집하는 한정식의 명가
지역에서 생산된 신선한 식재료를 사용하며 40여 가지 발효액을 이용해 음식을 조리하는 건강맛집으로 영양 돌솥밥, 연잎한정식 등 전 연령층을 아우르는 음식을 개발, 남녀노소 누가와도 즐겁게 식사할 수 있다. 2008년 아산시 향토음식경연대회 대상, 2010년 전국 향토음식 경연대회 대상 등 맛으로 승부하는 건강 맛집이다.",
